@relation tramitacoes2018-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute FLTIPOPROCESSO {F,L}
@attribute NUTRAMITE {2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,104,105,106,107,108,110,111,112,113,114,116,117,119,120,122,123}
@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDTIPOPARECER {1,2,4}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDSETORAUTUACAO {1,7,10,19,31,33,35,47,50,51,55,56,60,62,83,93,109,136,137,155,158,160,174,176,182,184,185,187,188,190,191,192,197,200,201,207,210,211,214,215,216,241,249,251,258,259,260,262,264,269,277,283,287,288,289,290,291,294,298,305,306,309,312,315,322,324,329,330,338,339,340,343,352,353,361,365,375,378,381,389,391,394,395,398,399,407,412,415,422,428,432,434,435,442,446,447,452,453,454,455,456,461,466,469,560,580,605,639,642,705,756,769,782,785,790,862,864,915,924,999,1006,1026,1036,1044,1049,1053,1054,1065,1095,1207,1214,1215,1227,1231,1446,1447,1449,1451,1519,1537,1560,1562,1572,1574,1583,1584,1592,1608,1643,1662,1758,1764,1766,1786,1788,1791,1793,1799,1802,1866,1918,1928,1934,1951,1955,1978,1996,2002,2004,2006,2008,2010,2012,2015,2114,3086,4280,4732,5124,5196,5287,5843,5855,5875,5885,5895,5907,5961,5982,5991,5999,6000,6015,6017,6020,6029,6049,6055,6065,6072,6080,6083,6088,6096,6137,6145,6213,6214,6222,6227,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JCOMIM,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
F,2,89,1,50,7,1928,SRPATRICIO,7,50
F,3,39,4,1539,7,1766,NELIZA,1539,7
F,6,110,1,51,51,51,NMGODINHO,5895,5901
F,6,2,4,6230,6230,6230,WBALSAMO,6230,2004
F,5,3,4,6029,7,7,SFLUZ,2,7
F,6,6,1,53,50,6230,LJACQUES,50,2012
F,2,19,1,50,7,343,MMANDRADE,7,6029
F,4,19,4,50,7,343,LJACQUES,50,2004
F,3,89,1,6029,7,6029,NELIZA,6029,7
F,5,89,1,6029,7,6029,LJACQUES,50,6230
F,2,7,1,10,10,7,NELIZA,10,7
F,14,7,1,10,10,7,LJACQUES,50,6230
F,2,39,1,1539,7,769,SRPATRICIO,7,1539
F,6,6,?,2010,2010,2010,CLCCOSTA,2012,2010
F,2,6,1,2010,2010,2010,AGSILVEIRA,2010,1537
F,2,7,1,7,7,10,SFLUZ,7,10
F,4,44,1,10,10,10,MGUEDES,10,2018
F,6,23,1,2004,2004,2004,FEMSANTOS,2004,2012
F,5,23,1,2004,2004,2004,CLCCOSTA,2012,2004
F,3,7,1,10,10,10,LFROSA,633,50
F,4,17,1,50,7,7,LAVILLA,7,1
F,11,17,1,50,7,7,MMANDRADE,7,50
F,5,3,1,6029,7,7,MMANDRADE,7,6029
F,5,89,1,50,7,862,WBALSAMO,6230,50
F,4,23,1,6227,2004,6227,VASILVA,10,2004
F,18,23,1,6227,2004,6227,LJACQUES,50,1537
F,16,23,1,6227,2004,6227,LJACQUES,50,2004
F,12,23,1,6227,2004,6227,AHSANTOS,1537,2004
F,6,44,1,10,10,10,VAMARAL,10,5893
F,7,97,1,6216,51,51,JCCONRADO,5901,92
F,5,97,1,6216,51,51,PVCOSTA,1006,51
F,5,91,4,1537,7,2002,PREMOR,6080,2002
F,3,91,1,1537,7,2002,MMANDRADE,1537,2002
F,6,78,1,1,7,6080,MAYRAS,35,1
F,2,80,1,7,7,7,MMANDRADE,7,7
F,27,110,1,51,51,51,GERSON,51,7
F,23,110,?,51,51,51,DORIS,51,5895
F,20,110,1,51,51,51,AGARAUJO,51,7
F,6,44,?,10,10,10,MGUEDES,10,2018
F,8,17,4,2006,2006,2006,VASILVA,2004,2006
F,7,17,1,2006,2006,2006,JTRES,2006,2004
F,7,70,1,7,7,7,MMANDRADE,7,1537
F,3,80,1,1,7,7,ALIGARAUJO,6029,7
F,7,109,1,50,7,1537,MROSA,53,1537
F,3,23,1,2004,2004,2004,MMANDRADE,7,2004
F,3,94,4,50,7,1054,LJACQUES,50,2004
F,9,4,1,6230,50,6230,LJACQUES,50,7
F,2,4,1,6230,50,6230,LJACQUES,50,6029
F,10,15,1,7,7,2004,MMANDRADE,7,50
F,18,15,4,7,7,2004,REBSOUZA,633,50
F,12,44,1,1996,1996,1996,MWENTZ,1996,1537
F,3,89,1,50,50,50,ISRICARTE,2012,50
F,7,89,1,50,50,50,MTCESCONETO,633,53
F,12,110,1,51,2002,2002,CRODRIGUES,2002,633
F,11,110,1,51,2002,2002,MCARVALHO,92,2002
F,6,110,1,51,2002,2002,NELIZA,7,51
F,3,89,1,1,7,7,LJACQUES,50,2012
F,5,80,1,1537,7,7,LJACQUES,50,6029
F,7,80,1,1537,7,7,JSOUZA,7,50
F,4,16,4,50,7,361,LJACQUES,50,2004
F,2,16,1,50,7,361,SRPATRICIO,7,6029
F,4,4,1,6230,6230,6230,MMANDRADE,7,50
F,7,4,1,6230,6230,6230,LJACQUES,50,633
F,8,80,1,1,7,7,SSAMORIM,2002,7
F,7,80,1,6029,7,7,MMANDRADE,7,6029
F,5,6,1,2010,2010,2010,PWBRAMONT,2010,2012
F,9,110,1,51,51,51,DORIS,51,2002
F,4,110,1,51,51,51,CRODRIGUES,2002,51
F,10,110,1,51,51,51,CRODRIGUES,2002,1537
F,3,96,1,1791,1791,1791,KPRIM,1788,1791
F,10,101,?,10,10,10,VASMAFIOLETTI,10,5893
F,9,44,1,10,10,10,MGUEDES,10,1537
F,6,10,1,7,7,2004,PPASSOLD,50,2004
F,10,110,1,51,51,51,JCCONRADO,5901,92
F,8,110,1,51,51,51,ACFREITAS,5901,1006
F,6,6,1,2010,2010,2010,AHSANTOS,1537,2012
F,7,23,1,2004,2004,2004,LJACQUES,50,7
F,3,110,1,51,51,51,ISNUNES,1006,5895
F,14,20,4,2006,2006,2006,AACASTRO,2004,2006
F,5,20,1,2006,2006,2006,MMARTINS,50,2006
F,5,44,1,1996,1996,1996,BVIEIRA,6080,1
F,2,2,1,50,50,6230,LJACQUES,50,7
F,9,115,1,50,7,7,LJACQUES,50,7
F,5,3,4,10,50,6230,LJACQUES,50,2004
F,7,7,1,50,7,7,VAMARAL,10,7
F,5,44,?,10,10,10,VAMARAL,2018,10
F,7,10,1,2004,2004,2004,SRPATRICIO,7,50
F,3,15,1,7,7,2004,MMARTINS,50,2004
F,66,110,1,51,51,51,HVMAZZOLA,51,5901
F,11,110,1,51,51,51,MSCOSTA,5895,7
F,6,110,?,51,51,51,GERSON,51,5895
F,39,110,1,51,51,51,BBRIBEIRO,2002,1537
F,32,110,1,51,51,51,GERSON,51,7
F,36,110,1,51,51,51,GERSON,51,2002
F,25,110,1,51,51,51,SFPEREIRA,51,1537
F,23,110,1,51,51,51,ESARMENTO,92,2002
F,8,80,1,6029,7,50,LJACQUES,50,2012
F,4,94,?,50,7,7,SRPATRICIO,7,6211
F,9,10,1,50,7,2004,SAKOERICH,2004,50
F,11,10,1,50,7,2004,SDMARCOS,633,50
F,14,97,1,1788,51,51,HVMAZZOLA,51,1537
F,3,97,1,1788,51,51,BLEIRIA,2002,1537
F,56,110,1,51,51,51,ACERVI,2002,1537
F,40,110,1,51,51,51,SRPATRICIO,6027,7
F,39,110,1,51,51,51,NELIZA,1537,6027
F,60,110,1,51,51,51,BLEIRIA,2002,51
F,42,110,1,51,51,51,HVMAZZOLA,51,2002
F,35,110,1,51,51,51,ACERVI,2002,1537
F,19,110,?,51,51,51,NELIZA,7,5895
F,25,110,1,51,51,51,ACERVI,2002,1537
F,10,110,?,51,51,51,LRGREGORIO,51,5895
F,26,110,1,51,51,51,NELIZA,1537,51
F,6,6,?,50,50,2010,ISRICARTE,2012,2010
F,5,6,1,50,50,2010,DDURIEUX,2010,2012
F,8,94,1,50,7,2004,LJACQUES,50,633
F,5,15,1,50,7,2004,MMANDRADE,7,50
F,7,15,1,50,7,2004,SMITHOMAZ,2012,2004
F,9,2,1,6230,50,6230,SRPATRICIO,7,7
F,6,110,1,51,51,51,ACFREITAS,5901,1006
F,9,110,?,51,51,51,MCARVALHO,92,5901
F,7,97,?,6216,51,51,BBROGNOLI,5901,1788
F,5,80,1,1,7,7,SRPATRICIO,2,7
F,23,110,1,51,51,51,ACERVI,2002,51
F,26,110,1,51,51,51,MMANDRADE,6027,51
F,3,16,1,2004,2004,7,LJACQUES,50,7
F,11,29,1,1791,1791,1791,VAGUIAR,1791,7
F,8,16,1,50,7,7,LJACQUES,50,2004
F,9,16,4,50,7,7,VASILVA,2004,50
F,6,16,1,50,7,7,SRPATRICIO,7,6029
F,7,110,1,51,51,51,DROGLIO,5901,92
F,2,94,1,50,7,1788,MMANDRADE,7,50
F,5,7,1,2006,2006,2006,JTRES,2006,2012
F,4,7,1,2006,2006,2006,JTRES,50,2006
F,3,23,1,2004,2004,2004,ISRICARTE,2012,2010
F,8,10,1,50,7,2004,AACASTRO,7,2004
F,14,7,?,6029,7,10,NELIZA,6027,1804
F,6,7,1,6029,7,10,AHSANTOS,1537,53
F,4,23,1,6227,2004,6227,NELIZA,7,1537
F,3,80,1,7,7,7,LJACQUES,50,2012
F,5,6,1,50,7,10,LJACQUES,50,2012
F,16,110,1,51,51,51,MCARVALHO,92,2002
F,17,110,1,51,51,51,AVPEREIRA,2002,633
F,7,110,1,51,51,51,SFPEREIRA,51,2002
F,5,2,4,50,7,50,MMANDRADE,7,50
F,3,6,1,2010,7,2010,AHSANTOS,2010,1537
F,4,6,1,2010,2010,2010,MMDASILVA,2010,2012
F,3,19,1,50,7,6029,ALIGARAUJO,6029,7
F,4,19,1,50,7,6029,ALIGARAUJO,7,6029
F,11,89,?,7,7,7,MROSA,53,7
F,6,110,1,51,51,51,ACFREITAS,51,5901
F,7,17,1,2004,2004,50,AACASTRO,2004,7
F,8,17,1,2004,2004,50,MMANDRADE,7,50
F,9,17,1,2004,2004,50,LJACQUES,50,2012
F,9,10,1,50,7,2004,FEMSANTOS,2004,50
F,15,10,4,50,7,2004,MTCESCONETO,633,50
F,3,7,1,10,7,10,VAMARAL,10,7
F,2,89,1,50,7,340,MMANDRADE,7,50
F,14,110,1,51,2002,2002,NMGODINHO,51,2002
F,16,110,1,51,2002,2002,AHSANTOS,1537,2002
F,18,110,?,51,2002,2002,NRFERNANDES,1537,2002
F,12,110,1,51,2002,2002,NELIZA,1537,6027
F,6,89,1,50,7,200,ILIMA,53,6029
F,2,16,1,50,7,283,LAVILLA,7,6029
F,5,7,?,10,7,10,LFUHR,10,2018
F,3,19,1,50,7,1799,APPEREIRA,6029,50
F,3,3,1,50,7,7,APPEREIRA,6029,50
F,4,3,4,50,7,7,LJACQUES,50,2004
F,6,89,1,50,7,7,LJACQUES,50,6230
F,2,23,1,2004,2004,2004,FEMSANTOS,2004,2012
F,4,89,1,50,7,158,ILIMA,53,6029
F,2,101,1,7,7,10,NELIZA,7,10
F,17,80,?,1,7,7,NELIZA,1537,1
F,62,110,1,51,51,51,NMGODINHO,51,1537
F,74,110,1,51,51,51,TRECH,2002,1537
F,53,110,1,51,51,51,BBRIBEIRO,2002,633
F,18,110,1,51,51,51,MSCOSTA,5895,50
F,16,110,1,51,51,51,MSCOSTA,5895,7
F,25,110,1,51,51,51,MSCOSTA,5895,7
F,21,110,1,51,51,51,ABSSOUZA,50,5895
F,26,110,1,51,51,51,NELIZA,7,51
F,59,110,1,51,51,51,SFPEREIRA,51,2002
F,25,110,1,51,51,51,HVMAZZOLA,51,7
F,37,110,1,51,51,51,ACERVI,2002,92
F,45,110,1,51,51,51,NELIZA,1537,6027
F,4,16,4,6029,7,1918,VASILVA,50,2004
F,28,110,1,51,51,51,SFPEREIRA,51,5901
F,35,110,?,51,51,51,FPGCOSTA,51,5901
F,12,115,1,7,7,2006,LJACQUES,50,7
F,14,115,?,7,7,2006,LJACQUES,50,2006
F,5,24,1,2004,2004,2004,VASILVA,2004,2010
F,6,91,1,2008,2002,2008,MMANDRADE,7,2002
F,6,44,1,10,10,10,MMANDRADE,7,10
F,19,110,1,51,2002,2002,YCOSTA,51,2002
F,15,110,1,51,2002,2002,FPGCOSTA,51,1537
F,9,110,1,51,2002,2002,ESARMENTO,92,2002
F,5,3,4,50,7,7,LJACQUES,50,2004
F,5,4,1,2012,6230,6230,SRPATRICIO,7,50
F,3,4,1,2012,6230,6230,LJACQUES,50,7
F,2,4,1,2012,6230,6230,MVALERIO,6230,50
F,3,16,1,6029,7,7,APPEREIRA,6029,7
F,11,4,1,6230,6230,6230,MMANDRADE,7,6230
F,3,39,4,1539,7,290,NELIZA,1539,7
F,2,39,1,1539,7,290,LAVILLA,7,1539
F,11,23,1,6227,2004,6227,LJACQUES,50,2004
F,8,6,4,2012,6230,6230,MROSA,53,93
F,2,6,1,2012,6230,6230,WBALSAMO,6230,50
F,5,6,1,2012,6230,6230,APPEREIRA,6029,7
F,6,80,4,1,7,6080,DASILVA,1537,6080
F,7,17,1,2006,2006,2006,MMARTINS,50,2004
F,9,17,1,2006,2006,2006,RRZDASILVA,2006,50
F,5,89,1,50,7,259,APPEREIRA,6029,7
F,3,44,1,10,10,10,NELIZA,1537,10
F,4,94,1,7,7,2004,VASILVA,2004,7
F,25,110,1,51,51,51,TLSANTOS,5901,51
F,19,110,1,51,51,51,MSCOSTA,5895,7
F,5,2,4,6230,2004,2004,MMANDRADE,7,50
F,10,10,?,50,7,2004,SDCARDOSO,2010,2004
F,21,44,1,7,6217,7,LJACQUES,50,7
F,22,44,1,7,6217,7,MMANDRADE,7,7
F,25,44,1,7,6217,7,SDMARCOS,633,53
F,18,44,1,7,6217,7,MMANDRADE,7,633
F,13,44,1,7,6217,7,MMANDRADE,7,7
F,26,44,1,7,6217,7,SDMARCOS,53,633
F,7,80,1,7,7,7,MIPZIMMERMANN,50,2006
F,6,80,1,7,7,7,MMANDRADE,7,50
F,3,110,1,51,5895,5895,ISNUNES,1006,51
F,5,89,1,53,50,6230,CLCCOSTA,2012,50
F,11,89,1,53,50,6230,LJACQUES,50,53
F,12,89,1,53,50,6230,ILIMA,53,7
F,8,89,1,50,7,7,ISRICARTE,2012,53
F,3,6,1,50,7,50,LJACQUES,50,7
F,52,110,1,51,51,51,CSILVEIRA,5984,5895
F,107,110,1,51,51,51,HVMAZZOLA,51,1537
F,36,110,?,51,51,51,GERSON,51,5895
F,25,110,1,51,51,51,NELIZA,7,51
F,2,3,1,6029,7,298,NELIZA,7,6029
F,3,16,1,50,7,330,APPEREIRA,6029,50
F,5,89,1,1,7,6029,MTCESCONETO,633,50
F,9,110,2,51,51,51,MSCOSTA,5895,1006
F,4,6,1,2010,2010,2010,MMANDRADE,7,2010
F,6,6,1,2010,2010,2010,ISRICARTE,2012,2010
F,37,110,?,51,51,51,MCARVALHO,92,5901
F,31,110,1,51,51,51,FPGCOSTA,51,5901
F,8,110,1,51,51,51,LRGREGORIO,51,7
F,27,110,1,51,51,51,LCLAGO,2002,633
F,6,17,1,50,7,50,SRPATRICIO,7,50
F,15,17,1,50,7,50,MMANDRADE,7,50
F,4,7,1,50,7,7,MMANDRADE,7,50
F,2,7,1,50,7,7,MMANDRADE,7,6029
F,3,16,1,50,7,306,APPEREIRA,6029,50
F,6,89,1,50,7,174,MMANDRADE,7,50
F,6,23,?,2004,2004,2004,FGCRUZ,2004,2012
F,3,97,1,6216,51,51,BBRIBEIRO,2002,1537
F,2,97,1,6216,51,51,SFPEREIRA,51,2002
F,4,19,4,50,7,338,LJACQUES,50,2004
F,6,79,?,1537,7,1537,YCOSTA,51,2002
F,4,79,1,1537,7,1537,ACERVI,2002,1537
F,3,10,1,2004,2004,2004,ISRICARTE,2012,2004
F,6,29,1,1791,7,5124,VAGUIAR,1791,633
F,11,89,1,2012,50,6230,ISRICARTE,2012,50
F,14,89,?,2012,50,6230,MMARTINS,50,2004
F,12,89,1,2012,50,6230,VPARGENDLER,50,2012
F,9,89,1,2012,50,6230,JSOUZA,7,50
F,25,10,1,7,7,2006,SRPATRICIO,7,50
F,20,10,1,7,7,2006,AACASTRO,2004,2006
F,11,89,1,50,7,50,SDMARCOS,633,50
F,16,89,1,50,7,50,MMANDRADE,7,7
F,18,89,1,50,7,50,MIPZIMMERMANN,50,2012
F,14,89,1,50,7,50,MIPZIMMERMANN,50,53
F,6,89,1,6230,50,6230,LJACQUES,50,2012
F,5,89,1,6230,50,6230,MTCESCONETO,633,50
F,12,89,1,6230,50,6230,LJACQUES,50,2012
F,9,89,1,50,7,50,MMANDRADE,7,7
F,7,89,1,50,7,50,LJACQUES,50,53
F,8,89,1,50,7,50,ILIMA,53,7
F,3,23,1,2004,2004,2004,VASILVA,2012,2004
F,10,110,?,51,1996,1996,HVMAZZOLA,51,5895
F,4,16,4,50,7,466,MIPZIMMERMANN,50,2004
F,3,39,4,1539,7,432,SRPATRICIO,1539,7
F,3,7,1,2006,2006,2006,ISRICARTE,2012,2004
F,2,7,1,2006,2006,2006,RFERNANDES,2006,2012
F,3,7,1,10,7,412,APPEREIRA,6029,7
F,2,80,1,7,7,365,MMANDRADE,7,6214
F,4,16,4,50,7,249,LJACQUES,50,2004
F,15,17,1,2006,2006,2006,RRZDASILVA,2006,50
F,20,17,1,2006,2006,2006,LJACQUES,50,2006
F,4,17,1,2006,2006,2006,RRZDASILVA,2006,50
F,2,78,1,1996,1996,1996,KSANHAIA,1996,6080
F,8,110,1,51,2002,51,AHSANTOS,7,6027
F,5,110,1,51,2002,51,SRPATRICIO,6027,7
F,9,110,1,51,2002,51,NELIZA,6027,51
F,8,7,1,10,10,10,MMANDRADE,7,7
F,10,110,1,51,51,51,ACERVI,2002,92
F,5,6,?,2010,7,2010,TCRAIMUNDO,2010,2012
F,33,110,1,51,51,51,FPGCOSTA,51,2002
F,10,110,?,51,51,51,ACFREITAS,5901,5895
F,5,110,4,51,1996,1996,NELIZA,6080,1996
F,5,79,1,1537,7,1537,MMANDRADE,6027,1788
F,8,89,1,50,7,191,ISRICARTE,2012,53
F,8,91,1,1978,2002,1978,JOFERNANDES,1,7
F,5,23,1,6227,2004,6227,VASILVA,10,2004
F,6,23,1,6227,2004,6227,NELIZA,2004,7
F,8,101,?,10,10,10,VASMAFIOLETTI,10,5893
F,9,10,1,50,7,2004,VASILVA,2010,2004
F,12,10,4,50,7,2004,MTCESCONETO,633,50
F,5,97,1,1788,51,51,BBRIBEIRO,2002,92
F,2,17,1,2006,2006,915,JTRES,2006,50
F,4,17,1,2006,2006,915,MMANDRADE,7,50
F,5,17,1,2006,2006,915,LJACQUES,50,2004
F,12,7,1,50,7,7,MMANDRADE,7,50
F,5,7,1,50,7,7,AACASTRO,50,7
F,7,7,?,10,10,10,VASMAFIOLETTI,10,50
F,8,80,1,1537,7,7,BBRIBEIRO,2002,1788
F,2,39,1,1539,7,277,NELIZA,7,1539
F,9,10,1,2004,2004,2004,MTCESCONETO,633,50
F,6,10,1,2004,2004,2004,WBALSAMO,50,2004
F,9,7,?,7,50,10,MGUEDES,10,2018
F,3,7,1,7,50,10,NELIZA,7,10
F,3,89,1,6029,7,6029,LJACQUES,50,53
F,8,89,1,6029,7,6029,LJACQUES,50,6029
F,2,89,1,6029,7,6029,NELIZA,7,50
F,4,89,1,1537,7,214,APPEREIRA,6029,7
F,4,80,1,1,7,3086,AHSANTOS,1537,6029
F,5,97,1,6216,51,51,BBROGNOLI,5901,53
F,3,97,1,6216,51,51,BBROGNOLI,5901,53
F,15,10,1,7,7,2004,LJACQUES,50,633
F,17,10,4,7,7,2004,PPASSOLD,50,2004
F,9,110,1,51,51,51,VRCASTRO,92,5901
F,6,110,1,51,51,51,MCARVALHO,92,1006
F,8,89,1,50,7,155,ISRICARTE,2012,53
F,5,7,1,50,7,7,ALIGARAUJO,6029,7
F,2,2,1,50,50,50,MMANDRADE,50,7
F,2,5,1,2010,2010,2010,MMDASILVA,2010,50
F,4,2,4,6230,50,6230,MMANDRADE,7,50
F,2,39,4,1539,7,324,NELIZA,7,1539
F,8,89,1,50,7,160,CLCCOSTA,2012,93
F,10,89,4,50,7,160,MCARVALHO,92,2012
F,9,89,1,50,7,160,MCARVALHO,93,92
F,4,89,1,50,7,160,ILIMA,53,6029
F,3,89,1,50,7,160,LJACQUES,50,53
F,2,7,1,2006,2006,2006,NELIZA,2006,7
F,4,79,1,1537,7,1537,NELIZA,7,6027
F,10,79,1,1537,7,7,ACERVI,2002,51
F,8,89,1,50,7,399,ISRICARTE,2012,53
F,5,89,1,50,7,399,MMANDRADE,6029,7
F,7,15,1,2004,2004,2004,LJACQUES,50,633
F,6,15,1,2004,2004,2004,SAKOERICH,2004,50
F,5,41,1,1,7,6080,MAZEVEDO,2,5932
F,11,10,1,50,7,2004,LJACQUES,50,2004
F,39,110,1,51,51,51,JCCONRADO,5901,51
